x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
76,1,910301,884205,896284,843427,861468,876686,885633,862885,856823,828938,852981,889575,882647,915851,950592,977220,1037052,
77,1,818793,836257,821345,850207,838564,847575,885377,848889,839022,803452,820464,850117,855919,854702,926653,913184,951651,
78,1,761425,821569,811410,804051,805591,841323,838629,842689,814623,788253,789478,788883,820559,846284,854334,878250,914054,
79,1,779361,743619,798171,778724,764472,809322,819503,802482,797507,766234,767813,738332,752512,798598,788259,789546,858924,
80,1,746448,755841,763901,769426,765122,809893,828326,789897,782941,784539,774935,755014,754406,754518,778809,793280,802784,
81,1,638234,677074,664482,666156,676470,759360,736059,736752,742594,708833,727271,703587,715960,704367,701385,731957,728222,
82,1,564115,591711,612151,646233,647122,701433,720583,709759,710437,690893,692596,701258,686972,674586,684420,674350,718408,
83,1,519269,530487,568328,592986,587301,658994,673379,683005,673526,654099,655985,653162,649403,652059,639039,612058,626813,
84,1,448094,507699,474502,536091,548335,616856,624041,629572,629529,610451,625588,619111,604857,625795,598482,615941,591211,
85,Inf,2275462,2323127,2346322,2417386,2557815,3465095,3511395,3679523,3763799,3775174,3832175,3884567,3967300,3999745,4050059,4121494,4060875,
