x,n,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
34,1,2317407.2,2244245.3,2286255.9,2112887.3,2204162.8,2101011.6,2214725.4,2272849.2,2138491.4,,,,,2531586.5,,,,,3634810.6,3778063.6,3616747.8,3628630.3,,3862192.8,3999657.5,4050270,4182853.4,4271161.2,4405433.7,4367020.4,4366660.7,4524902.9,,4481455.2,4461936.8,4386609.5,4100080.8,4066775.8,4103777.4,3886102,4028260.4,4197115.5,4430074,3964663.9,3778222.6,3630137.2,3839093.2,3759559.6,3862882.9,3987307.8,3929457.8,4222478.2,4295816,4130372.5,4212278,
35,1,2472244.3,2355807.2,2275149.7,2393250.9,2118903.5,2186141.6,2131765.5,2342676,2290523,,,,,2475734.6,,,,,2886004.9,3543474.7,3800452.6,3698906.8,,3809949,3821262.1,4170732.6,4173362.4,4344361.6,4340892.4,4518039.1,4418912.9,4524961.7,,4741122.5,4512999,4493996.6,4660636.5,4472276.4,4238057.7,4025767.1,4142469.2,4311043.4,4307203.9,4511844.5,4161142.2,3883308.6,3809530.8,4008063.6,3871164.8,3950458.8,4038839.7,4158565.5,4487212.2,4324546.9,4242896,
36,1,2481984.7,2395940.1,2405745.7,2278925,2493747.2,2142909.7,2262197.8,2137636.3,2221753.2,,,,,2313610.5,,,,,2803272,2858031.6,3547655.5,3744298.1,,3661027.3,3661168.5,3848505.2,4128443,4104827.3,4301047.8,4149016.7,4403453.8,4538097,,4576115.6,4726997.2,4503333.3,4373708.4,4457409.4,4490134.8,4156495.4,4018603.3,3969147.4,4031431.4,4119279.9,4462079.4,4129119.2,3840832.1,3768087,3859989.3,3792128.4,3803414.7,3829976.9,3859754.7,4256514,4240287.7,
37,1,2387216.2,2444749,2331292,2379979.9,2202153.9,2377137.1,2106460.8,2180826.1,2111375.8,,,,,2398722.9,,,,,2962144.6,2888416,2728414.5,3535671.2,,3500592.7,3716200.5,3679570,3695697.4,3986059.3,3982698.3,4258940.3,4317912.9,4447169,,4230316.2,4519662.3,4563907,4429756.9,4493242.2,4473607.7,4468344.1,4153821.3,4049536.7,4006614.3,4008302,4189118.4,4372032.4,4125170.4,3839901.4,3769956.7,3713660.2,3931102.2,3767332.5,3972234.7,4003646.6,4234060.2,
38,1,2382375.6,2315173.8,2455066.7,2334278.1,2355556.1,2234614.8,2289255.8,2069606.6,2169922.2,,,,,2351965.6,,,,,2929593.2,2979046.1,2903140.7,2723091,,3671104.4,3613219.4,3655457.7,3676738.9,3746926.3,4004126.4,3933617,4390792.6,4345475,,4567039.7,4588806.3,4507562.1,4567254.3,4253803.5,4440263.1,4472697.8,4475905,4126116.5,4162308.3,4099404,4023483.7,4268067.7,4372423.1,4079002,3888376.2,3705365.1,3773378.9,3943958.6,3787450.7,3933403.9,4106707.9,
39,1,2362974.2,2529894.9,2406232,2394167.5,2338576.3,2338996.1,2235248,2220620.7,2080476.6,,,,,2165865.4,,,,,2721631.3,2853633.9,2930090,2944088.5,,3698493.8,3775066.8,3515337.6,3695001.1,3709270.6,3750275.1,4093093,3936292.7,4114696,,4364825.7,4406368.9,4621894.5,4497918.1,4643719.5,4401996.5,4524386.2,4493255.7,4335580.2,4143706.2,4032476.5,4070908.3,4080527.6,4296598.8,4237272.9,4028342.2,3978745.4,3673990.5,3701495.6,3808880.7,3869235.5,3949232,
40,1,2367151.6,2528076.3,2576237.8,2536615.1,2462414.6,2503520.8,2509802,2408284.7,2260303,,,,,2189862,,,,,2569989.7,2684289.9,3036849,3032431,,3020247.9,3625529.2,3855077.5,3585397.4,3740986.2,3972008.3,3854441.4,4249943.3,4038827.9,,4488119,4524854.7,4407310.5,4664788.4,4629094.2,4680809,4658553.1,4753720.3,4662215,4727817.8,4526315.9,4258702.7,4140923.6,4263661.8,4417320.8,4537123,4022283.4,4044378.2,3903230,3896893.4,3967053.2,4006982,
41,1,2463133.3,2367883.9,2391113.6,2535532.4,2513081.2,2360977.5,2395225.7,2374590.2,2276952.7,,,,,2159726.4,,,,,2433179.4,2523083.7,2639252.6,3051800.7,,2730241.6,2885536.3,3472369.2,3585658.6,3569847.1,3656457.2,3757989,3710191.8,4105559.3,,4246435.8,4554716.5,4385391.3,4507887.2,4416194.6,4423776.1,4443860.1,4365464.6,4710618.1,4438293.4,4344812.4,4299924.7,4065958.4,3974522.4,4187245.2,4346516,4472368.9,4033870.5,3745535.8,3849695.2,3987757.3,3809599.6,
42,1,2486522.4,2620241.4,2369822.9,2475582.4,2485161.4,2421155.7,2321143.1,2368866.6,2365042.4,,,,,2212851,,,,,2394560.9,2442787.5,2514333.6,2645156.6,,2909466,2900363.1,2851828.9,3589973.6,3698453.7,3585125.5,3703508.3,3763533.3,3931571.5,,4125191.7,4114469.3,4561297.8,4301991.9,4499683.4,4425964.4,4462550.5,4575230.8,4332055.4,4513029.1,4517732.6,4387429.5,4086479.7,3997534.1,3893687,4097991.7,4299920.4,4448301,4072739.5,3893845.1,3807448.6,3905990,
43,1,2288582.9,2376221.2,2533319.9,2420485.5,2586132.6,2438110.2,2434013.7,2316274.4,2422308.7,,,,,2372444.7,,,,,2290068.5,2313145.2,2354465.6,2379047.6,,2929832.8,2841047.6,2915068.8,2889675,3441951.5,3656621.6,3616972.9,3645170.1,3810258.9,,3873276.5,4134231.7,4172773.7,4447758.5,4472887.4,4521559.6,4509929.7,4503681.8,4575317.2,4404295.5,4620913.3,4462609.5,4563688,4235363.8,3965524.3,3898481.7,4061516.4,4130029.4,4410914.3,3989766.7,3857172.2,3775246.8,
44,1,2359653.8,2270362.8,2323468.7,2417060.5,2351197.7,2408760.8,2343528.2,2384526.5,2335659.6,,,,,2178368,,,,,2196331,2314104.2,2295335.7,2303037.1,,2576593.8,2792208,2728521,2852999.3,2852526.1,3415858.7,3685345.2,3506119.9,3670926.9,,3865212.1,3877003.2,4244326.2,4292203.1,4467004.7,4470109.8,4561297.5,4591500.4,4501593.5,4615953.7,4340158.7,4447022.8,4541927,4406285.5,4106562.3,3854790.8,3930940.8,4000141.9,4249181.9,4373018.4,3998514.3,3775356,
45,1,2320726,2357206.3,2339566.6,2454861.3,2595931.7,2377315.7,2467676,2482575.8,2433842.2,,,,,2349871.4,,,,,2295804,2394971.4,2333900.3,2388049.9,,2657239.4,2609368.1,2926910.1,2776605.5,3002627.2,2939201.1,3448514.2,3734771.3,3665393.4,,3777608.6,3821303.1,4012445.6,4073720.8,4430266.9,4387462.5,4448100.3,4513951.1,4591390.7,4771732.9,4757614.8,4512189.2,4594550.2,4496512.4,4553163.7,4071029.7,4150292.2,4114080.1,4194071.6,4226755.1,4479929.3,4101124.8,
46,1,2112448.8,2345741.3,2350344.2,2259854.2,2357829.3,2482482.6,2366588.8,2400897.7,2476018.3,,,,,2308124.9,,,,,2191068.5,2240424.7,2244698.1,2244961.7,,2327448.3,2511682.5,2642548.6,2984114.2,2861013.9,2896248.5,2976168.3,3530725.1,3735773.3,,3559047.6,3691616.2,3862325.2,3971442.4,3913178.1,4384263.9,4321545.6,4420571.3,4491370.6,4291244.2,4502545,4686792.6,4567506.6,4495731,4531090.9,4413143.5,4067085.7,4109274.2,3719028.5,4097166.5,4300424,4354648.7,
47,1,2229103.2,2236145,2339204,2343779.6,2301854.7,2388109.2,2452628.9,2377782.6,2403042.9,,,,,2237962.9,,,,,2082246.7,2101490,2225209.2,2289726.4,,2355936.1,2486889.3,2443515.7,2697466.3,2885294.1,2902590.2,2814876.9,2914230.5,3517172.3,,3559365.9,3635104.4,3585896.3,3712003.4,4009746.3,3914626.1,4256833.9,4232658.4,4398566.8,4568748.2,4460034.5,4468464.7,4664214.9,4503267.5,4456320.7,4487077.1,4391077.2,4215357.3,4280463,4050814.3,4018455,4114610,
